timestamp,open,high,low,close,volume
2001-06-29,17.2750,18.0900,15.7500,18.0900,24113120
2001-05-31,17.0600,18.3000,15.9875,17.5125,46746696
2001-04-30,15.0000,17.4325,14.1675,17.0975,38536460
2001-03-30,16.5750,17.0750,14.0500,14.8775,49774776
2001-02-28,19.3000,19.5500,16.4500,17.0000,68246144
2001-01-31,16.5000,19.7500,15.5000,19.4250,27896116
2000-12-29,16.6250,17.4375,15.5000,16.5000,52975156
2000-11-30,13.5000,16.4625,13.3000,16.3125,39828864
2000-10-31,15.5500,15.7975,12.6500,13.1750,8454736
2000-09-29,15.4725,16.3675,14.0625,15.5325,31112532
2000-08-31,14.4625,15.3475,13.4275,15.1550,41270724
2000-07-31,14.5000,14.8925,13.2000,14.5000,15997324
2000-06-30,15.6275,16.7500,14.2125,14.4850,28579088
2000-05-31,17.6125,17.6125,15.0300,15.7250,45364896
2000-04-28,14.4875,17.9950,13.6750,17.6125,59859048
2000-03-31,13.8750,15.0950,12.3750,14.5000,110425780
2000-02-29,14.7500,16.0000,11.7750,13.7500,81695428
2000-01-31,18.8750,19.1250,14.3275,14.3275,101908928
1999-12-30,18.3000,19.9375,16.5375,18.8250,19618612
1999-11-30,17.2375,20.4475,17.0725,18.3200,26681424
